"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"BMAS_FDS-APJ_APP_CBR-98","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","2 minutes and 16 seconds","375.56 MB","1 hour, 16 minutes and 32 seconds","8 hours","0 seconds","Disabled"
"BMAS_FDS-APJ_ETL_DB_CBR.99","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","48 seconds","10.27 MB","3 seconds","5 minutes","0 seconds","Disabled"
"BMAS_PAC_APPS_37_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","41 seconds","847.14 MB","1 hour, 35 minutes and 5 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_COB_45_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","0 seconds","3.77 MB","2 hours, 16 minutes and 51 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_DB_19_DC","Incremental Sync","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","2 minutes and 47 seconds","453.77 MB","1 minute and 19 seconds","5 minutes","0 seconds","Disabled"
"BMAS_PAC_DB_SLAVE_22_DC","Incremental Sync","192.168.191.26","FDS-VREP-RMP-26","","8 of 8","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","36 seconds","708.6 MB","1 minute and 55 seconds","5 minutes","0 seconds","Disabled"
"BMAS_PAC_EDC_46_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","1 second","1.34 MB","4 hours, 17 minutes and 6 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_FTP_62_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","2 hours, 5 minutes and 45 seconds","196.89 GB","5 hours, 1 minute and 33 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_IACSS_36_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","4 seconds","53.9 MB","43 minutes and 29 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_IGATE_35_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","8 minutes and 57 seconds","3.32 GB","29 minutes and 13 seconds","8 hours","0 seconds","Disabled"
