"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"BATAM-APPS.37","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 19, 2026","5 seconds","137.41 MB","1 hour, 47 minutes and 17 seconds","8 hours","0 seconds","Disabled"
"BATAM-DB-19","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 19, 2026","2 seconds","5.32 MB","12 seconds","5 minutes","0 seconds","Disabled"
"BATAM-IGATE.35","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 19, 2026","5 seconds","149.7 MB","48 minutes and 42 seconds","8 hours","0 seconds","Disabled"
"BATAM-SSL.3","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 19, 2026","2 seconds","141.24 MB","4 hours, 40 minutes and 11 seconds","8 hours","0 seconds","Disabled"
"BATAM-TOKEN.39","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 19, 2026","3 seconds","135.89 MB","3 hours, 39 minutes and 59 seconds","8 hours","0 seconds","Disabled"
"BATAM-WEBADMIN.51","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 19, 2026","4 seconds","154.23 MB","2 hours, 12 minutes and 29 seconds","8 hours","0 seconds","Disabled"
"BJJ-ADMIN-BIB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 19, 2026","2 seconds","28.63 MB","5 hours, 30 minutes and 51 seconds","8 hours","0 seconds","Disabled"
"BJJ-ADMIN-PIB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 19, 2026","1 second","30.64 MB","1 hour, 28 minutes and 54 seconds","8 hours","0 seconds","Disabled"
"BJJ-APPS-BIB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 19, 2026","2 seconds","26.83 MB","3 hours, 29 minutes and 3 seconds","8 hours","0 seconds","Disabled"
"BJJ-APPS-PIB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 19, 2026","2 seconds","48.22 MB","6 minutes and 30 seconds","8 hours","0 seconds","Disabled"
"BJJ-DB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","3 of 3","Enabled","VR","Disabled","Disabled","Disabled","BJJ-DR","Datastore Default","Jun 19, 2026","3 seconds","7.81 MB","2 minutes and 36 seconds","5 minutes","0 seconds","Disabled"
"BJJ-EDC","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 19, 2026","2 seconds","31.62 MB","6 hours, 5 minutes and 38 seconds","8 hours","0 seconds","Disabled"
"BJJ-LOS","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 19, 2026","1 second","33.84 MB","9 minutes and 41 seconds","8 hours","0 seconds","Disabled"
