"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"BJI-FDS-CHN1-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","11 seconds","37.02 MB","19 minutes and 24 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-CHN2.PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","18 seconds","134.42 MB","41 minutes and 17 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-CHN3.PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","2 seconds","4.57 MB","2 minutes and 35 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-LOS-SWIFT-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","3 seconds","19.81 MB","5 minutes and 55 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-NGINX-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","13 seconds","2.84 MB","10 minutes and 48 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-T24JBOSSWEB-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","8 of 8","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","3 seconds","9.5 MB","16 minutes and 27 seconds","30 minutes","0 seconds","Disabled"
"BJI-FDS-T24TAFJ-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","15 of 15","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","11 seconds","56.25 MB","3 minutes and 2 seconds","30 minutes","0 seconds","Disabled"
"BJI_APJ_DWH_BUCKET_STORAGE_132","OK","192.168.193.251","FDS-VREP-DCI-251","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","4 seconds","6.79 MB","12 minutes and 4 seconds","1 hour","0 seconds","Disabled"
"BJI_APJ_DWH_DB_131","Incremental Sync (RPO Violation)","192.168.193.251","FDS-VREP-DCI-251","","16 of 16","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","15 minutes and 31 seconds","51.27 GB","47 minutes and 58 seconds","30 minutes","16 minutes","Disabled"
"BJI_APJ_DWH_DB_CLICKHOUSE_133","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","2 seconds","2.5 MB","5 minutes and 51 seconds","30 minutes","0 seconds","Disabled"
