"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","DataSets replication","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"ALLO-CTL","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","9 seconds","185.25 MB","4 hours, 34 minutes and 59 seconds","8 hours","0 seconds","Disabled"
"ALLO-DB","Incremental Sync","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","50 seconds","2.55 MB","3 minutes and 5 seconds","5 minutes","0 seconds","Disabled"
"ALLO-DB-CACHE","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","3 seconds","176 KB","2 minutes and 12 seconds","5 minutes","0 seconds","Disabled"
"ALLO-ELK","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","2 minutes and 20 seconds","498.6 MB","3 hours, 55 minutes and 38 seconds","8 hours","0 seconds","Disabled"
"ALLO-IBB-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","1 second","5.99 MB","3 hours, 25 minutes and 22 seconds","8 hours","0 seconds","Disabled"
"ALLO-IBB-APP","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","2 minutes and 1 second","31.97 MB","28 minutes and 19 seconds","8 hours","0 seconds","Disabled"
"ALLO-MGATE-APP","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","2 minutes and 4 seconds","71.37 MB","25 minutes and 21 seconds","8 hours","0 seconds","Disabled"
"ALLO-MGATEPRXY","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","1 minute and 53 seconds","5.34 MB","5 hours, 22 minutes and 10 seconds","8 hours","0 seconds","Disabled"
"ALLO-SSL","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","1 second","6.06 MB","1 hour, 40 minutes and 38 seconds","8 hours","0 seconds","Disabled"
"ALLO-SSL-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","35 seconds","5.66 MB","1 hour, 44 minutes and 50 seconds","8 hours","0 seconds","Disabled"
"ALLO-VA","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","2 seconds","5.97 MB","4 hours, 52 minutes and 58 seconds","8 hours","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_APP_68","OK","192.168.191.26","FDS-VREP-RMP-26","","15 of 15","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","58 seconds","8.53 MB","12 minutes and 5 seconds","30 minutes","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_CBR_69","OK","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","2 minutes and 7 seconds","41.91 MB","4 minutes and 19 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_MIS_70","OK","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","4 seconds","10.16 MB","4 minutes and 55 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_WEB_67","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 20, 2026","2 seconds","4.32 MB","19 minutes and 55 seconds","1 hour","0 seconds","Disabled"
