"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","DataSets replication","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"VFDS_CENTOS7.4_R12_KMS-PROD_APUPPT_101","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","Disabled","datastore_ksp_dci_sas_2","Datastore Default","Jun 22, 2026","1 second","3.35 MB","13 minutes and 29 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_KMS-PROD_APP_100","OK","192.168.193.251","FDS-VREP-DCI-251","","47 of 47","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Multiple datastores","Datastore Default","Jun 22, 2026","53 seconds","117.02 MB","11 minutes and 58 seconds","15 minutes","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_KMS-PROD_CBR_102","OK","192.168.193.251","FDS-VREP-DCI-251","","10 of 10","Enabled","VR","Disabled","Enabled","Disabled","Disabled","datastore_ksp_dci_sas_3","Datastore Default","Jun 22, 2026","14 seconds","26.17 MB","1 hour, 1 minute and 2 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_KMS-PROD_WEB_99","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","Disabled","datastore_ksp_dci_ssd_3","Datastore Default","Jun 22, 2026","2 seconds","11.49 MB","6 minutes and 18 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL7.6_R20_KLKONVEN-PROD_APP_82","OK","192.168.193.251","FDS-VREP-DCI-251","","19 of 19","Enabled","VR","Disabled","Enabled","Disabled","Disabled","vsanklsl-DCI","Datastore Default","Jun 22, 2026","51 seconds","222.67 MB","17 minutes and 29 seconds","30 minutes","0 seconds","Disabled"
"VFDS_RHEL7.6_R20_KLKONVEN-PROD_CHN_115","OK","192.168.193.251","FDS-VREP-DCI-251","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","Disabled","vsanklsl-DCI","Datastore Default","Jun 22, 2026","4 seconds","228.91 MB","28 minutes and 27 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL7.6_R20_KLKONVEN-PROD_CHN_116","OK","192.168.193.251","FDS-VREP-DCI-251","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","Disabled","vsanklsl-DCI","Datastore Default","Jun 22, 2026","3 seconds","233.77 MB","24 minutes and 17 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL7.6_R20_KLKONVEN-PROD_CHN_87","OK","192.168.193.251","FDS-VREP-DCI-251","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","Disabled","vsanklsl-DCI","Datastore Default","Jun 22, 2026","30 seconds","228.27 MB","17 minutes and 40 seconds","1 hour","0 seconds","Disabled"
