"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"BMAS_FDS-APJ_APP_CBR-98","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","3 seconds","14.66 MB","2 hours, 32 minutes and 49 seconds","8 hours","0 seconds","Disabled"
"BMAS_FDS-APJ_ETL_DB_CBR.99","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","5 seconds","7.44 MB","?","5 minutes","0 seconds","Disabled"
"BMAS_PAC_APPS_37_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","2 seconds","8.36 MB","?","8 hours","0 seconds","Disabled"
"BMAS_PAC_COB_45_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","1 second","2.73 MB","11 minutes and 55 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_DB_19_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","4 seconds","11.08 MB","?","5 minutes","0 seconds","Disabled"
"BMAS_PAC_DB_SLAVE_22_DC","Incremental Sync","192.168.191.26","FDS-VREP-RMP-26","","8 of 8","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","9 seconds","33.95 MB","?","5 minutes","0 seconds","Disabled"
"BMAS_PAC_EDC_46_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","1 second","1.64 MB","17 minutes and 35 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_FTP_62_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","3 seconds","3.84 MB","1 hour, 9 minutes and 1 second","8 hours","0 seconds","Disabled"
"BMAS_PAC_IACSS_36_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","4 seconds","21.27 MB","1 hour, 38 minutes and 54 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_IGATE_35_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","2 minutes and 50 seconds","913.08 MB","41 minutes and 24 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_LAKUPANDAI_38_DC","Not Active (RPO Violation)","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Apr 28, 2026","2 seconds","3.9 MB","1305 hours, 42 minutes and 35 seconds","8 hours","1161 hours and 39 minutes","Disabled"
"BMAS_PAC_LOS_59_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","2 minutes and 2 seconds","672 KB","1 hour, 56 minutes and 13 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_MIDSERVICE_43","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","1 minute and 53 seconds","19.36 MB","1 hour, 26 minutes and 4 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_RECONCILE_61_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","50 seconds","2.28 MB","2 hours, 4 minutes and 2 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_SCANNER_114_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","5 seconds","80.81 MB","?","8 hours","0 seconds","Disabled"
"BMAS_PAC_SSL_3_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","1 minute and 18 seconds","11.48 MB","4 hours, 31 minutes and 30 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_WEBADMIN_51_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","4 seconds","21.26 MB","1 hour, 17 minutes and 33 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_WSO2_42_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","1 second","2.68 MB","14 minutes and 31 seconds","8 hours","0 seconds","Disabled"
"FDBG_FDS_T24_CHN1-134","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","30 seconds","12.95 MB","3 minutes and 36 seconds","1 hour","0 seconds","Disabled"
"FDBG_FDS_T24_CHN2-135","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","3 seconds","21.45 MB","3 minutes","1 hour","0 seconds","Disabled"
"FDBG_FDS_T24_LB-143","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","3 seconds","15.93 MB","15 minutes and 4 seconds","1 hour","0 seconds","Disabled"
"FDBG_FDS_T24_SIGVER-144","OK","192.168.191.26","FDS-VREP-RMP-26","","9 of 9","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","5 minutes and 41 seconds","4.8 GB","2 minutes and 53 seconds","30 minutes","0 seconds","Disabled"
"FDBG_FDS_T24_SWFLOS-145","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","2 seconds","10.27 MB","?","1 hour","0 seconds","Disabled"
"FDBG_FDS_T24_TAFJ1-130","OK","192.168.191.26","FDS-VREP-RMP-26","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","1 minute and 31 seconds","1.18 GB","12 minutes and 50 seconds","30 minutes","0 seconds","Disabled"
"FDBG_FDS_T24_TAFJ2-131","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","5 seconds","336 KB","15 minutes and 9 seconds","30 minutes","0 seconds","Disabled"
"FDBG_FDS_T24_WEB-138","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","2 seconds","1.41 MB","5 seconds","1 hour","0 seconds","Disabled"
"FDBG_PAC_ELK-126-old","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","20 seconds","6.7 MB","4 hours, 33 minutes and 26 seconds","8 hours","0 seconds","Disabled"
"FDBG_PAC_LOS_KPT-69","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","3 seconds","18.25 MB","45 minutes and 13 seconds","8 hours","0 seconds","Disabled"
"FDBG_PAC_LOS_MULTICORE-68","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","2 seconds","2.34 MB","14 minutes and 48 seconds","8 hours","0 seconds","Disabled"
"FDBG_PAC_LOS_MULTICORE_FTP-6","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","2 seconds","18.85 MB","15 minutes and 3 seconds","8 hours","0 seconds","Disabled"
"FDBG_PAC_VICALL_OOB","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","1 minute and 49 seconds","18.66 MB","58 minutes and 58 seconds","8 hours","0 seconds","Disabled"
"FDBG_PAC_Xforce_ELK.","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","13 minutes and 45 seconds","12.86 GB","1 hour, 27 minutes and 59 seconds","8 hours","0 seconds","Disabled"
"FDBG_PAC_Xforce_web","OK","192.168.191.26","FDS-VREP-RMP-26","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","2 minutes and 31 seconds","544.05 MB","2 minutes and 19 seconds","8 hours","0 seconds","Disabled"
"GANESHA-ADMIN-PROXY-NEW","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","2 minutes and 5 seconds","31.63 MB","50 minutes and 17 seconds","8 hours","0 seconds","Disabled"
"GANESHA-CACHE-NEW","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","19 seconds","220.24 MB","38 minutes and 33 seconds","8 hours","0 seconds","Disabled"
"GANESHA-CTL-NEW","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","1 minute and 9 seconds","273.24 MB","6 minutes and 58 seconds","8 hours","0 seconds","Disabled"
"GANESHA-DB-NEW","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 22, 2026","3 seconds","1.89 MB","?","5 minutes","0 seconds","Disabled"
