"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"BATAM-APPS.37","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 22, 2026","4 seconds","154.42 MB","1 hour, 51 minutes and 35 seconds","8 hours","0 seconds","Disabled"
"BATAM-DB-19","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 22, 2026","1 second","104 KB","3 minutes and 50 seconds","5 minutes","0 seconds","Disabled"
"BATAM-IGATE.35","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 22, 2026","3 seconds","156.38 MB","47 minutes and 10 seconds","8 hours","0 seconds","Disabled"
"BATAM-SSL.3","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 22, 2026","2 seconds","147.85 MB","5 hours, 7 minutes and 46 seconds","8 hours","0 seconds","Disabled"
"BATAM-TOKEN.39","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 22, 2026","2 seconds","146.5 MB","1 hour, 26 minutes and 18 seconds","8 hours","0 seconds","Disabled"
"BATAM-WEBADMIN.51","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 22, 2026","2 seconds","158.14 MB","2 hours, 51 minutes and 27 seconds","8 hours","0 seconds","Disabled"
"BJJ-ADMIN-BIB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 22, 2026","2 seconds","24.43 MB","5 hours, 48 minutes and 22 seconds","8 hours","0 seconds","Disabled"
"BJJ-ADMIN-PIB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 22, 2026","1 second","30.52 MB","1 hour, 48 minutes and 29 seconds","8 hours","0 seconds","Disabled"
"BJJ-APPS-BIB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 22, 2026","2 seconds","25.71 MB","4 hours, 51 minutes and 53 seconds","8 hours","0 seconds","Disabled"
"BJJ-APPS-PIB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 22, 2026","1 second","53.91 MB","1 hour, 25 minutes and 2 seconds","8 hours","0 seconds","Disabled"
