"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"API-Data-Verification-APPS","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 22, 2026","5 seconds","9.12 MB","24 minutes and 1 second","8 hours","0 seconds","Disabled"
"API-Data-Verification-DB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","PAC_BILLER","Datastore Default","Jun 22, 2026","2 seconds","16 KB","1 minute and 58 seconds","5 minutes","0 seconds","Disabled"
"API-Data-Verification-SSL","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 22, 2026","7 seconds","12.11 MB","2 hours, 18 minutes and 15 seconds","8 hours","0 seconds","Disabled"
"Bank-Mantap-Dev-Clone.68","OK","10.10.40.15","vRep-Cyber","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 22, 2026","2 minutes and 35 seconds","488.06 MB","2 hours, 32 minutes and 54 seconds","8 hours","0 seconds","Disabled"
"BAS-CTL","OK","10.10.40.15","vRep-Cyber","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 22, 2026","11 seconds","1.27 GB","5 hours, 43 minutes and 25 seconds","8 hours","0 seconds","Disabled"
"BAS-DB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 22, 2026","0 seconds","272 KB","1 minutes","5 minutes","0 seconds","Disabled"
"BAS-ELK","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 22, 2026","1 minute and 20 seconds","2.98 GB","5 hours, 11 minutes and 21 seconds","8 hours","0 seconds","Disabled"
"BAS-FTP","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 22, 2026","4 minutes and 46 seconds","6.36 GB","2 hours, 52 minutes and 4 seconds","8 hours","0 seconds","Disabled"
"BAS-IBB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 22, 2026","5 seconds","169.91 MB","2 hours and 18 minutes","8 hours","0 seconds","Disabled"
"BAS-MGATE-PROXY","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","1 second","17.51 MB","6 hours, 49 minutes and 4 seconds","8 hours","0 seconds","Disabled"
