"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"BMAS_FDS-APJ_APP_CBR-98","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","3 seconds","5.6 MB","?","8 hours","0 seconds","Disabled"
"BMAS_FDS-APJ_ETL_DB_CBR.99","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","35 seconds","10.37 MB","?","5 minutes","0 seconds","Disabled"
"BMAS_PAC_APPS_37_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","40 seconds","837.23 MB","1 hour, 28 minutes and 24 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_COB_45_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","1 second","8.27 MB","3 hours, 6 minutes and 56 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_DB_19_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","4 seconds","8.19 MB","?","5 minutes","0 seconds","Disabled"
"BMAS_PAC_DB_SLAVE_22_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","8 of 8","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","6 seconds","28.04 MB","?","5 minutes","0 seconds","Disabled"
"BMAS_PAC_EDC_46_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","1 second","1.91 MB","2 hours, 6 minutes and 53 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_FTP_62_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","5 seconds","1.04 MB","13 minutes and 23 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_IACSS_36_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","3 seconds","56.71 MB","1 hour, 27 minutes and 51 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_IGATE_35_DC","OK","192.168.191.26","FDS-VREP-RMP-26","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 19, 2026","4 minutes and 54 seconds","2.97 GB","4 hours, 12 minutes and 34 seconds","8 hours","0 seconds","Disabled"
"BMAS_PAC_LAKUPANDAI_38_DC","Not Active (RPO Violation)","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Apr 28, 2026","2 seconds","3.9 MB","1249 hours, 17 minutes and 3 seconds","8 hours","1161 hours and 39 minutes","Disabled"
