"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"BATAM-APPS.37","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 19, 2026","3 seconds","140.21 MB","1 hour, 16 minutes and 46 seconds","8 hours","0 seconds","Disabled"
"BATAM-DB-19","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 19, 2026","1 second","4.92 MB","1 minute and 6 seconds","5 minutes","0 seconds","Disabled"
"BATAM-IGATE.35","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 19, 2026","3 seconds","136.52 MB","18 minutes and 11 seconds","8 hours","0 seconds","Disabled"
"BATAM-SSL.3","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 19, 2026","2 seconds","140.47 MB","4 hours, 9 minutes and 39 seconds","8 hours","0 seconds","Disabled"
"BATAM-TOKEN.39","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 19, 2026","2 seconds","134.44 MB","3 hours, 9 minutes and 28 seconds","8 hours","0 seconds","Disabled"
"BATAM-WEBADMIN.51","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BATAM-DR-CBR","Datastore Default","Jun 19, 2026","4 seconds","151.29 MB","1 hour, 41 minutes and 59 seconds","8 hours","0 seconds","Disabled"
"BJJ-ADMIN-BIB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 19, 2026","2 seconds","24.8 MB","5 hours, 0 minutes and 25 seconds","8 hours","0 seconds","Disabled"
"BJJ-ADMIN-PIB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 19, 2026","1 second","28.62 MB","58 minutes and 19 seconds","8 hours","0 seconds","Disabled"
"BJJ-APPS-BIB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 19, 2026","2 seconds","25.7 MB","3 hours, 5 minutes and 49 seconds","8 hours","0 seconds","Disabled"
"BJJ-APPS-PIB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 19, 2026","2 seconds","48.22 MB","7 hours, 35 minutes and 53 seconds","8 hours","0 seconds","Disabled"
"BJJ-DB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","3 of 3","Enabled","VR","Disabled","Disabled","Disabled","BJJ-DR","Datastore Default","Jun 19, 2026","3 seconds","5.06 MB","4 minutes and 12 seconds","5 minutes","0 seconds","Disabled"
