"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"API-Data-Verification-APPS","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 19, 2026","3 seconds","4.42 MB","27 minutes and 22 seconds","8 hours","0 seconds","Disabled"
"API-Data-Verification-DB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","PAC_BILLER","Datastore Default","Jun 19, 2026","1 second","16 KB","2 minutes and 58 seconds","5 minutes","0 seconds","Disabled"
"API-Data-Verification-SSL","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 19, 2026","9 seconds","13.31 MB","5 hours, 26 minutes and 16 seconds","8 hours","0 seconds","Disabled"
"Bank-Mantap-Dev-Clone.68","OK","10.10.40.15","vRep-Cyber","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 19, 2026","1 minute and 39 seconds","240.8 MB","1 hour, 45 minutes and 37 seconds","8 hours","0 seconds","Disabled"
"BAS-CTL","OK","10.10.40.15","vRep-Cyber","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 19, 2026","6 seconds","1.34 GB","3 hours, 10 minutes and 34 seconds","8 hours","0 seconds","Disabled"
"BAS-DB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 19, 2026","31 seconds","121.14 MB","53 seconds","5 minutes","0 seconds","Disabled"
"BAS-ELK","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 19, 2026","55 seconds","2.67 GB","1 hour, 12 minutes and 54 seconds","8 hours","0 seconds","Disabled"
"BAS-FTP","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 19, 2026","1 second","2.77 MB","45 minutes and 41 seconds","8 hours","0 seconds","Disabled"
"BAS-IBB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 19, 2026","4 seconds","610.45 MB","1 hour, 33 minutes and 14 seconds","8 hours","0 seconds","Disabled"
"BAS-MGATE-PROXY","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 19, 2026","1 second","12.52 MB","7 hours, 3 minutes and 19 seconds","8 hours","0 seconds","Disabled"
"BAS-MICROGATE","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 19, 2026","6 seconds","549.09 MB","6 hours, 24 minutes and 6 seconds","8 hours","0 seconds","Disabled"
"BAS-REDIS","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 19, 2026","1 second","59.6 MB","4 hours, 28 minutes and 29 seconds","8 hours","0 seconds","Disabled"
"BAS-SSL","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 19, 2026","1 second","73.02 MB","2 hours, 2 minutes and 9 seconds","8 hours","0 seconds","Disabled"
"BAS-SSL-WEBADMIN","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 19, 2026","1 second","11.53 MB","58 minutes and 12 seconds","8 hours","0 seconds","Disabled"
"BAS-WEBADMIN","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 19, 2026","1 second","7.35 MB","2 hours, 20 minutes and 11 seconds","8 hours","0 seconds","Disabled"
"BCAS-ADMIN","OK","10.10.40.15","vRep-Cyber","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","BCAS-DR","Datastore Default","Jun 19, 2026","3 seconds","114.78 MB","5 hours, 50 minutes and 32 seconds","8 hours","0 seconds","Disabled"
"BCAS-APPS","OK","10.10.40.15","vRep-Cyber","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","BCAS-DR","Datastore Default","Jun 19, 2026","10 seconds","376.74 MB","5 hours, 17 minutes and 59 seconds","8 hours","0 seconds","Disabled"
"BCAS-DB","OK","10.10.40.15","vRep-Cyber","","8 of 8","Enabled","VR","Disabled","Enabled","Disabled","BCAS-DR","Datastore Default","Jun 19, 2026","22 seconds","30.62 MB","35 seconds","5 minutes","0 seconds","Disabled"
"BCAS-IGATE","OK","10.10.40.15","vRep-Cyber","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","BCAS-DR","Datastore Default","Jun 19, 2026","9 seconds","227.13 MB","3 hours, 57 minutes and 38 seconds","8 hours","0 seconds","Disabled"
"BCAS-SelfRegister","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BCAS-DR","Datastore Default","Jun 19, 2026","0 seconds","0 Bytes","5 hours, 24 minutes and 11 seconds","8 hours","0 seconds","Disabled"
