"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"BJI-FDS-CHN1-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","12 seconds","229.39 MB","11 minutes and 54 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-CHN2.PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","54 seconds","312.27 MB","34 minutes and 6 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-CHN3.PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","16 seconds","6.98 MB","10 minutes and 42 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-LOS-SWIFT-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","2 seconds","14.89 MB","52 minutes and 57 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-NGINX-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","1 second","6.32 MB","20 minutes and 49 seconds","1 hour","0 seconds","Disabled"
"BJI-FDS-T24JBOSSWEB-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","8 of 8","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","4 seconds","40.95 MB","16 minutes and 10 seconds","30 minutes","0 seconds","Disabled"
"BJI-FDS-T24TAFJ-PROD","OK","192.168.193.251","FDS-VREP-DCI-251","","15 of 15","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","13 seconds","39.56 MB","10 minutes and 32 seconds","30 minutes","0 seconds","Disabled"
"BJI_APJ_DWH_BUCKET_STORAGE_132","OK","192.168.193.251","FDS-VREP-DCI-251","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","23 seconds","8.32 MB","16 minutes and 52 seconds","1 hour","0 seconds","Disabled"
"BJI_APJ_DWH_DB_131","OK","192.168.193.251","FDS-VREP-DCI-251","","16 of 16","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","33 seconds","4.98 MB","12 minutes and 24 seconds","30 minutes","0 seconds","Disabled"
"BJI_APJ_DWH_DB_CLICKHOUSE_133","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","22 seconds","6.27 MB","3 minutes and 42 seconds","30 minutes","0 seconds","Disabled"
"BJI_APJ_DWH_ETL_202","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","3 seconds","928 KB","16 minutes and 27 seconds","1 hour","0 seconds","Disabled"
"BJI_APJ_DWH_SURROUNDING_APPS_203","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","2 seconds","4.69 MB","19 minutes and 11 seconds","1 hour","0 seconds","Disabled"
"BJI_APJ_DWH_TABLEAU_201","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","51 seconds","617.46 MB","47 minutes and 51 seconds","1 hour","0 seconds","Disabled"
"BJI_PAC_ADMIN_PROXY_11","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","2 seconds","22.53 MB","1 hour, 41 minutes and 31 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_APPS_COB_50","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","15 seconds","8.43 MB","4 hours, 2 minutes and 45 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_APPS_COLLSYS_38","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","2 seconds","17.3 MB","1 hour, 41 minutes and 48 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_APPS_COLLSYS_PBX_168","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","1 second","8.26 MB","4 hours and 43 minutes","8 hours","0 seconds","Disabled"
"BJI_PAC_APPS_IACSS_36","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","1 second","19.53 MB","3 hours, 29 minutes and 44 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_EDC_40","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","2 seconds","6.59 MB","4 hours, 3 minutes and 3 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_ELK_26","OK","192.168.193.251","FDS-VREP-DCI-251","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","3 minutes and 15 seconds","6.46 GB","1 hour, 49 minutes and 40 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_FTP_44","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","1 second","4.22 MB","3 hours, 5 minutes and 27 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_LOS_APPS_45","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","1 second","5.31 MB","20 minutes and 52 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_LOS_CHANNELING_46","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","1 second","5.14 MB","19 minutes and 29 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_MASTER_NODE_27","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","1 minute and 25 seconds","1,023 MB","6 hours, 19 minutes and 29 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_MGATE_PROXY_13","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","1 second","6.21 MB","4 hours, 17 minutes and 11 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_OB_APPS_53","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","1 second","5.16 MB","5 hours, 46 minutes and 51 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_OB_MDW_39","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","1 second","8.02 MB","2 hours, 27 minutes and 7 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_OB_WSO2_54","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","14 seconds","3.97 MB","6 hours, 15 minutes and 4 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_RECONCILE_51","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","7 seconds","134.41 MB","2 hours, 6 minutes and 9 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_REDIS_CACHE_20","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","16 seconds","14.43 MB","5 hours, 27 minutes and 31 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_SSL_WEB_3","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","30 seconds","30.16 MB","4 hours, 27 minutes and 23 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_WEB_ADMIN_COB_LOS_OB_49","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","29 seconds","9.2 MB","2 hours, 34 minutes and 6 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_WEB_ADMIN_IBB_48","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","3 seconds","4.22 MB","5 hours, 7 minutes and 11 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_WEB_ADMIN_IBMB_47","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","53 seconds","8.67 MB","1 hour, 27 minutes and 29 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_WEB_TELLER_52","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","21 seconds","8.38 MB","1 hour, 4 minutes and 38 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_WORKER_NODE_IBB_43","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","54 seconds","360.13 MB","1 hour, 16 minutes and 51 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_WORKER_NODE_IBMB_42","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","6 seconds","196.66 MB","5 hours, 4 minutes and 25 seconds","8 hours","0 seconds","Disabled"
"BJI_PAC_WORKER_NODE_MGATE_35","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","VD-BJI-DR","Datastore Default","Jun 20, 2026","32 seconds","161.7 MB","5 hours, 4 minutes and 57 seconds","8 hours","0 seconds","Disabled"
"BOII-PAC-ADMIN-PROXY","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 20, 2026","20 seconds","3.88 MB","1 hour, 48 minutes and 16 seconds","8 hours","0 seconds","Disabled"
"BOII-PAC-DB","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 20, 2026","1 second","2.25 MB","1 minute and 5 seconds","5 minutes","0 seconds","Disabled"
"BOII-PAC-DB-SLAVE-DC","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 20, 2026","15 seconds","3.38 MB","3 minutes and 37 seconds","5 minutes","0 seconds","Disabled"
"BOII-PAC-ELK","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 20, 2026","7 seconds","227.1 MB","1 hour and 14 minutes","8 hours","0 seconds","Disabled"
"BOII-PAC-IACSS-APPS","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 20, 2026","1 second","2.92 MB","1 hour, 2 minutes and 9 seconds","8 hours","0 seconds","Disabled"
"BOII-PAC-MASTER-NODE","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 20, 2026","41 seconds","621.63 MB","1 hour, 20 minutes and 13 seconds","8 hours","0 seconds","Disabled"
"BOII-PAC-MGATE-PROXY","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 20, 2026","28 seconds","5.01 MB","7 minutes and 52 seconds","8 hours","0 seconds","Disabled"
"BOII-PAC-RANCHER","OK","192.168.193.251","FDS-VREP-DCI-251","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 20, 2026","33 seconds","224.5 MB","1 hour, 11 minutes and 48 seconds","8 hours","0 seconds","Disabled"
"BOII-PAC-RECON","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 20, 2026","28 seconds","7.03 MB","4 hours, 48 minutes and 8 seconds","8 hours","0 seconds","Disabled"
