"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","DataSets replication","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"VFDS_CENTOS7.4_R12_KMS-PROD_APUPPT_101","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","Disabled","datastore_ksp_dci_sas_2","Datastore Default","Jun 20, 2026","1 second","1.08 MB","30 minutes and 3 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_KMS-PROD_APP_100","OK","192.168.193.251","FDS-VREP-DCI-251","","47 of 47","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Multiple datastores","Datastore Default","Jun 20, 2026","43 seconds","176.94 MB","12 minutes and 35 seconds","15 minutes","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_KMS-PROD_CBR_102","OK","192.168.193.251","FDS-VREP-DCI-251","","10 of 10","Enabled","VR","Disabled","Enabled","Disabled","Disabled","datastore_ksp_dci_sas_3","Datastore Default","Jun 20, 2026","8 seconds","25.1 MB","57 minutes and 2 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_KMS-PROD_WEB_99","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","Disabled","datastore_ksp_dci_ssd_3","Datastore Default","Jun 20, 2026","2 seconds","16.54 MB","4 minutes and 10 seconds","1 hour","0 seconds","Disabled"
