"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","DataSets replication","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"VFDS_CENTOS7.4_R12_KMS-PROD_APUPPT_101","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","Disabled","datastore_ksp_dci_sas_2","Datastore Default","Jun 21, 2026","1 second","3.2 MB","24 minutes and 25 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_KMS-PROD_APP_100","Incremental Sync (RPO Violation)","192.168.193.251","FDS-VREP-DCI-251","","47 of 47","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Multiple datastores","Datastore Default","Jun 21, 2026","24 seconds","1 GB","54 minutes and 20 seconds","15 minutes","31 minutes","Disabled"
"VFDS_RHEL6.3_R12_KMS-PROD_CBR_102","OK","192.168.193.251","FDS-VREP-DCI-251","","10 of 10","Enabled","VR","Disabled","Enabled","Disabled","Disabled","datastore_ksp_dci_sas_3","Datastore Default","Jun 21, 2026","5 seconds","25.86 MB","6 minutes and 46 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_KMS-PROD_WEB_99","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","Disabled","datastore_ksp_dci_ssd_3","Datastore Default","Jun 21, 2026","20 seconds","3.2 MB","55 minutes and 16 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL7.6_R20_KLKONVEN-PROD_APP_82","Initial Sync","192.168.193.251","FDS-VREP-DCI-251","","19 of 19","Enabled","VR","Disabled","Enabled","Disabled","Disabled","vsanklsl-DCI","Datastore Default","No instances","0 seconds","0 Bytes","0 seconds","30 minutes","","Disabled"
"VFDS_RHEL7.6_R20_KLKONVEN-PROD_CHN_115","OK","192.168.193.251","FDS-VREP-DCI-251","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","Disabled","vsanklsl-DCI","Datastore Default","Jun 21, 2026","21 seconds","226.31 MB","50 minutes and 33 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL7.6_R20_KLKONVEN-PROD_CHN_116","Initial Sync","192.168.193.251","FDS-VREP-DCI-251","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","Disabled","vsanklsl-DCI","Datastore Default","No instances","0 seconds","0 Bytes","0 seconds","1 hour","","Disabled"
"VFDS_RHEL7.6_R20_KLKONVEN-PROD_CHN_87","OK","192.168.193.251","FDS-VREP-DCI-251","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","Disabled","vsanklsl-DCI","Datastore Default","Jun 21, 2026","3 seconds","225.07 MB","34 minutes and 49 seconds","1 hour","0 seconds","Disabled"
