"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","DataSets replication","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"ALLO-CTL","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","3 seconds","26.53 MB","25 minutes and 41 seconds","8 hours","0 seconds","Disabled"
"ALLO-DB","Incremental Sync","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","3 seconds","2.55 MB","2 minutes and 33 seconds","5 minutes","0 seconds","Disabled"
"ALLO-DB-CACHE","Incremental Sync","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","43 seconds","200 KB","3 minutes and 13 seconds","5 minutes","0 seconds","Disabled"
"ALLO-ELK","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","8 seconds","78.55 MB","28 minutes and 42 seconds","8 hours","0 seconds","Disabled"
"ALLO-IBB-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","2 seconds","2.42 MB","26 minutes and 30 seconds","8 hours","0 seconds","Disabled"
"ALLO-IBB-APP","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","2 seconds","12.77 MB","5 minutes and 14 seconds","8 hours","0 seconds","Disabled"
"ALLO-MGATE-APP","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","1 second","6.77 MB","8 minutes and 15 seconds","8 hours","0 seconds","Disabled"
"ALLO-MGATEPRXY","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","28 seconds","768 KB","15 minutes","8 hours","0 seconds","Disabled"
"ALLO-SSL","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","2 seconds","1.04 MB","14 minutes and 31 seconds","8 hours","0 seconds","Disabled"
"ALLO-SSL-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","2 seconds","1.82 MB","32 minutes and 31 seconds","8 hours","0 seconds","Disabled"
"ALLO-VA","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","1 second","1.35 MB","17 minutes and 14 seconds","8 hours","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_APP_68","OK","192.168.191.26","FDS-VREP-RMP-26","","15 of 15","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","13 seconds","42.79 MB","13 minutes and 57 seconds","30 minutes","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_CBR_69","OK","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","1 minute and 49 seconds","51.57 MB","4 minutes and 12 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_MIS_70","OK","192.168.191.26","FDS-VREP-RMP-26","","7 of 7","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","4 seconds","5.95 MB","7 minutes and 59 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_ALLO-PROD_WEB_67","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Datastore-allo-edge","Datastore Default","Jun 21, 2026","5 seconds","2.66 MB","13 minutes and 57 seconds","1 hour","0 seconds","Disabled"
