"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"API-Data-Verification-APPS","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 21, 2026","5 seconds","9.63 MB","4 hours, 0 minutes and 58 seconds","8 hours","0 seconds","Disabled"
"API-Data-Verification-DB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","PAC_BILLER","Datastore Default","Jun 21, 2026","1 second","136 KB","2 minutes and 17 seconds","5 minutes","0 seconds","Disabled"
"API-Data-Verification-SSL","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 21, 2026","5 seconds","11.75 MB","3 hours, 12 minutes and 15 seconds","8 hours","0 seconds","Disabled"
"Bank-Mantap-Dev-Clone.68","OK","10.10.40.15","vRep-Cyber","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 21, 2026","1 minute and 11 seconds","219.35 MB","2 hours, 25 minutes and 15 seconds","8 hours","0 seconds","Disabled"
"BAS-CTL","OK","10.10.40.15","vRep-Cyber","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","16 seconds","1.43 GB","5 hours, 38 minutes and 43 seconds","8 hours","0 seconds","Disabled"
"BAS-DB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","0 seconds","4.16 MB","2 minutes and 18 seconds","5 minutes","0 seconds","Disabled"
"BAS-ELK","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","2 minutes and 46 seconds","5.6 GB","17 minutes and 26 seconds","8 hours","0 seconds","Disabled"
"BAS-FTP","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","6 minutes and 37 seconds","6.36 GB","1 hour, 28 minutes and 26 seconds","8 hours","0 seconds","Disabled"
"BAS-IBB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","5 seconds","267.46 MB","5 hours, 8 minutes and 19 seconds","8 hours","0 seconds","Disabled"
"BAS-MGATE-PROXY","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","2 seconds","25.83 MB","3 hours, 8 minutes and 23 seconds","8 hours","0 seconds","Disabled"
