"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"API-Data-Verification-APPS","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 21, 2026","28 seconds","2.91 MB","30 minutes and 3 seconds","8 hours","0 seconds","Disabled"
"API-Data-Verification-DB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","PAC_BILLER","Datastore Default","Jun 21, 2026","2 seconds","536 KB","1 minute and 52 seconds","5 minutes","0 seconds","Disabled"
"API-Data-Verification-SSL","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 21, 2026","5 seconds","11.02 MB","3 hours, 10 minutes and 57 seconds","8 hours","0 seconds","Disabled"
"Bank-Mantap-Dev-Clone.68","OK","10.10.40.15","vRep-Cyber","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 21, 2026","1 minute and 15 seconds","209.15 MB","2 hours, 14 minutes and 9 seconds","8 hours","0 seconds","Disabled"
"BAS-CTL","OK","10.10.40.15","vRep-Cyber","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","8 seconds","1.16 GB","5 hours, 24 minutes and 44 seconds","8 hours","0 seconds","Disabled"
"BAS-DB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","0 seconds","4.07 MB","4 minutes and 33 seconds","5 minutes","0 seconds","Disabled"
"BAS-ELK","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","32 seconds","1.08 GB","49 minutes and 58 seconds","8 hours","0 seconds","Disabled"
"BAS-FTP","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","19 seconds","3.57 MB","5 hours, 11 minutes and 44 seconds","8 hours","0 seconds","Disabled"
"BAS-IBB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","2 seconds","191.28 MB","5 hours, 29 minutes and 16 seconds","8 hours","0 seconds","Disabled"
"BAS-MGATE-PROXY","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","22 seconds","12.63 MB","4 hours, 51 minutes and 58 seconds","8 hours","0 seconds","Disabled"
"BAS-MICROGATE","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","10 seconds","134.44 MB","5 hours, 11 minutes and 23 seconds","8 hours","0 seconds","Disabled"
"BAS-REDIS","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 21, 2026","1 second","13.73 MB","5 hours, 53 minutes and 8 seconds","8 hours","0 seconds","Disabled"
