"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","DataSets replication","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"VFDS_CENTOS7.4_R12_KMS-PROD_APUPPT_101","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","Disabled","datastore_ksp_dci_sas_2","Datastore Default","Jun 21, 2026","2 seconds","3.32 MB","41 minutes and 43 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_KMS-PROD_APP_100","OK","192.168.193.251","FDS-VREP-DCI-251","","47 of 47","Enabled","VR","Disabled","Enabled","Disabled","Disabled","Multiple datastores","Datastore Default","Jun 21, 2026","1 minute and 4 seconds","159.5 MB","6 minutes and 13 seconds","15 minutes","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_KMS-PROD_CBR_102","OK","192.168.193.251","FDS-VREP-DCI-251","","10 of 10","Enabled","VR","Disabled","Enabled","Disabled","Disabled","datastore_ksp_dci_sas_3","Datastore Default","Jun 21, 2026","16 seconds","25.33 MB","7 minutes and 14 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL6.3_R12_KMS-PROD_WEB_99","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","Disabled","datastore_ksp_dci_ssd_3","Datastore Default","Jun 21, 2026","2 seconds","13.93 MB","56 minutes and 53 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL7.6_R20_KLKONVEN-PROD_APP_82","OK","192.168.193.251","FDS-VREP-DCI-251","","19 of 19","Enabled","VR","Disabled","Enabled","Disabled","Disabled","vsanklsl-DCI","Datastore Default","Jun 21, 2026","34 seconds","295.66 MB","25 minutes and 39 seconds","30 minutes","0 seconds","Disabled"
"VFDS_RHEL7.6_R20_KLKONVEN-PROD_CHN_115","OK","192.168.193.251","FDS-VREP-DCI-251","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","Disabled","vsanklsl-DCI","Datastore Default","Jun 21, 2026","15 seconds","268.84 MB","19 minutes and 26 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL7.6_R20_KLKONVEN-PROD_CHN_116","OK","192.168.193.251","FDS-VREP-DCI-251","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","Disabled","vsanklsl-DCI","Datastore Default","Jun 21, 2026","26 seconds","211.1 MB","5 minutes and 45 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL7.6_R20_KLKONVEN-PROD_CHN_87","OK","192.168.193.251","FDS-VREP-DCI-251","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","Disabled","vsanklsl-DCI","Datastore Default","Jun 21, 2026","5 seconds","235.36 MB","41 minutes and 55 seconds","1 hour","0 seconds","Disabled"
