"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"VFDS_RHEL7.9_R19_NTT-PROD_CHN_138","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","DS-BNTT-CORE-DR-BCK","Datastore Default","Jun 21, 2026","32 seconds","522.49 MB","48 minutes and 38 seconds","2 hours","0 seconds","Disabled"
"VFDS_RHEL7.9_R19_NTT-PROD_CHN_150","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","DS-BNTT-CORE-DR-BCK","Datastore Default","Jun 21, 2026","40 seconds","722.96 MB","1 hour, 20 minutes and 48 seconds","2 hours","0 seconds","Disabled"
"VFDS_RHEL7.9_R19_NTT-PROD_LOCKMGR_132","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","DS-BNTT-CORE-DR-BCK","Datastore Default","Jun 21, 2026","7 seconds","109.99 MB","2 hours, 34 minutes and 7 seconds","3 hours","0 seconds","Disabled"
"VFDS_RHEL7.9_R19_NTT-PROD_MONITOR_139","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","DS-BNTT-CORE-DR-BCK","Datastore Default","Jun 21, 2026","4 seconds","110.7 MB","24 minutes and 40 seconds","3 hours","0 seconds","Disabled"
"VFDS_RHEL7.9_R19_NTT-PROD_SWF_136","OK","192.168.193.251","FDS-VREP-DCI-251","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","DS-BNTT-CORE-DR-BCK","Datastore Default","Jun 21, 2026","6 seconds","169.32 MB","2 hours, 57 minutes and 1 second","3 hours","0 seconds","Disabled"
"VFDS_RHEL8.6_R22_BOII-PROD_APP_196","OK","192.168.193.251","FDS-VREP-DCI-251","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 21, 2026","3 seconds","18.21 MB","16 minutes and 43 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL8.6_R22_BOII-PROD_CHN_198","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 21, 2026","2 seconds","41.72 MB","1 minute and 18 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL8.6_R22_BOII-PROD_CHN_199","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 21, 2026","1 second","17.3 MB","2 minutes and 53 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL8.6_R22_BOII-PROD_DB-DCI_130","OK","192.168.193.251","FDS-VREP-DCI-251","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 21, 2026","49 seconds","231.94 MB","10 minutes and 21 seconds","15 minutes","0 seconds","Disabled"
"VFDS_RHEL8.6_R22_BOII-PROD_FTP_203","OK","192.168.193.251","FDS-VREP-DCI-251","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 21, 2026","2 seconds","7.35 MB","15 minutes and 18 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL8.6_R22_BOII-PROD_LB_195","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 21, 2026","0 seconds","2.75 MB","14 minutes and 2 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL8.6_R22_BOII-PROD_LOCKMGR_200","OK","192.168.193.251","FDS-VREP-DCI-251","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 21, 2026","1 second","8.36 MB","3 minutes and 12 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL8.6_R22_BOII-PROD_WEB_197","OK","192.168.193.251","FDS-VREP-DCI-251","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","BOII-1-DR","Datastore Default","Jun 21, 2026","5 seconds","3.43 MB","15 minutes and 40 seconds","1 hour","0 seconds","Disabled"
