"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"API-Data-Verification-APPS","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 18, 2026","3 seconds","4.22 MB","4 hours, 27 minutes and 10 seconds","8 hours","0 seconds","Disabled"
"API-Data-Verification-DB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","PAC_BILLER","Datastore Default","Jun 18, 2026","3 seconds","120 KB","59 seconds","5 minutes","0 seconds","Disabled"
"API-Data-Verification-SSL","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 18, 2026","6 seconds","14.45 MB","6 minutes and 42 seconds","8 hours","0 seconds","Disabled"
"Bank-Mantap-Dev-Clone.68","OK","10.10.40.15","vRep-Cyber","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","PAC_BILLER","Datastore Default","Jun 18, 2026","2 minutes and 28 seconds","517.23 MB","1 hour, 48 minutes and 36 seconds","8 hours","0 seconds","Disabled"
"BAS-CTL","OK","10.10.40.15","vRep-Cyber","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 18, 2026","6 seconds","1.4 GB","55 minutes and 11 seconds","8 hours","0 seconds","Disabled"
"BAS-DB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 18, 2026","24 seconds","85.6 MB","1 minute and 25 seconds","5 minutes","0 seconds","Disabled"
"BAS-ELK","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 18, 2026","1 minute and 22 seconds","3.23 GB","1 hour, 4 minutes and 51 seconds","8 hours","0 seconds","Disabled"
"BAS-FTP","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 18, 2026","26 seconds","4.68 MB","4 hours, 31 minutes and 4 seconds","8 hours","0 seconds","Disabled"
"BAS-IBB","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 18, 2026","5 seconds","726.22 MB","6 hours and 21 minutes","8 hours","0 seconds","Disabled"
"BAS-MGATE-PROXY","OK","10.10.40.15","vRep-Cyber","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","ACEH-DC-NEW","Datastore Default","Jun 18, 2026","7 seconds","7.56 MB","1 hour, 5 minutes and 7 seconds","8 hours","0 seconds","Disabled"
